"Name","Address > Postal Code","Entity ID","Yext ID"
"Cake Box Romford","RM1 3RL","CBS00143","34188232"
"Cake Box Bearwood Road (Smethwick)","B66 4BE","CBS00140","34188233"
"Cake Box Leamington Spa","CV31 1LN","CBS00139","34188234"
"Cake Box Telford","TF1 1DT","CBS00137","34188235"
"Cake Box Queensbury","HA3 9DA","CBS00145","34188236"
"Cake Box Poplar","E14 0EG","CBS00159","34188237"
"Cake Box Leicester (Narborough Rd)","LE3 0LE","CBS00144","34188238"
"Cake Box Derby","DE23 6PY","CBS00118","34188239"
"Cake Box Gravesend","DA12 2RG","CBS00107","34188240"
"Cake Box Wolverhampton","WV2 3AQ","CBS00121","34188241"
"Cake Box Barking","IG11 8AA","CBS00151","34188242"
"Cake Box Harrow","HA5 5EN","CBS00105","34188243"
"Cake Box Strood","ME2 4AP","CBS00126","34188244"
"Cake Box Ilford (Cranbrook Road)","IG1 4PU","CBS00155","34188245"
"Cake Box Walsall","WS1 3RW","CBS00128","34188246"
"Cake Box Aldershot","GU11 1DX","CBS00160","34188247"
"Cake Box West Bromwich","B70 6NY","CBS00142","34188248"
"Cake Box Southend","SS0 7HZ","CBS00162","34188249"
"Cake Box Leicester","LE4 7AN","CBS00108","34188250"
"Cake Box Bedford","MK40 4LH","CBS00129","34188251"
"Cake Box Slough Central","SL1 1NB","CBS00223","34188252"
"Cake Box Goodmayes","IG3 9UN","CBS00101","34188253"
"Cake Box Green Street","E7 8JE","CBS00100","34188254"
"Cake Box Bow","E3 5LX","CBS00102","34188255"
"Cake Box Slough","SL2 1DE","CBS00103","34188256"
"Cake Box Walthamstow","E17 4QR","CBS00104","34188257"
"Cake Box Hayes","UB3 3EF","CBS00109","34188258"
"Cake Box Barkingside","IG6 2EY","CBS00110","34188259"
"Cake Box Wood Green","N8 0DY","CBS00112","34188260"
"Cake Box Birmingham (Soho Road)","B21 9SU","CBS00114","34188261"
"Cake Box Norbury","SW16 4DE","CBS00117","34188262"
"Cake Box Coventry (Foleshill Road)","CV6 5JX","CBS00119","34188263"
"Cake Box Leeds","LS8 5PL","CBS00122","34188264"
"Cake Box Tooting","SW17 7PB","CBS00123","34188265"
"Cake Box High Wycombe","HP11 2PU","CBS00124","34188266"
"Cake Box Leicester (Evington Rd)","LE2 1QJ","CBS00125","34188267"
"Cake Box Bethnal Green","E2 6AH","CBS00127","34188268"
"Cake Box Nottingham","NG7 5GN","CBS00131","34188269"
"Cake Box Bradford (Leeds Road)","BD3 8EY","CBS00134","34188270"
"Cake Box Coventry Road (Birmingham)","B10 0JS","CBS00135","34188271"
"Cake Box Coventry (Walsgrave Rd)","CV2 4ED","CBS00136","34188272"
"Cake Box Birmingham (Stratford Rd)","B11 4AT","CBS00133","34188273"
"Cake Box Ilford (Ilford Lane)","IG1 2LD","CBS00138","34188274"
"Cake Box Glasgow","G42 8RL","CBS00148","34188275"
